freq,unit,sector,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,INTLORG,ED1_2,BG	23.3 	22.0 	22.3 	15.3 	28.3 	31.4 	27.2 	30.2 	30.6 
A,MIO_EUR,INTLORG,ED1_2,CH	: z	: z	: z	: z	: z	0.0 	0.0 	: 	0.0 
A,MIO_EUR,INTLORG,ED1_2,CY	0.0 	0.0 	0.0 	0.0 	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED1_2,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1_2,DE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1_2,DK	: z	: z	: z	: 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1_2,EE	: 	43.8 	58.9 	59.8 	32.7 	40.1 	68.6 	40.2 	49.9 
A,MIO_EUR,INTLORG,ED1_2,EL	110.8 	135.3 	163.5 	108.3 	66.7 	51.4 	70.7 	59.2 	: 
A,MIO_EUR,INTLORG,ED1_2,ES	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1_2,EU27_2020	: 	: 	: 	: 	: 	792.0 d	1307.8 d	985.5 	997.2 d
A,MIO_EUR,INTLORG,ED1_2,EU28	: 	: 	: 	: 	: 	800.2 d	1319.5 d	996.1 	: 
A,MIO_EUR,INTLORG,ED1_2,FI	0.0 	0.0 	0.0 	: d	0.5 	0.4 	0.4 	0.8 	0.4 
A,MIO_EUR,INTLORG,ED1_2,FR	9.6 	31.9 	25.7 	11.8 	14.9 	8.9 	10.9 	27.2 	15.0 
A,MIO_EUR,INTLORG,ED1_2,HR	: 	: 	: 	: 	0.3 d	: d	: d	17.6 	16.3 
A,MIO_EUR,INTLORG,ED1_2,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1_2,IE	: z	: z	: z	1.1 d	1.5 	7.2 	22.8 	5.8 	0.6 
A,MIO_EUR,INTLORG,ED1_2,IS	: z	: z	: z	: z	: z	: z	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1_2,IT	: 	351.7 	351.7 	351.7 	18.5 	38.5 	99.8 	7.0 	84.9 
A,MIO_EUR,INTLORG,ED1_2,LT	27.7 	26.4 	21.2 	13.3 	11.0 	5.9 	32.2 	45.8 	47.3 
A,MIO_EUR,INTLORG,ED1_2,LU	25.6 	28.6 	26.8 	26.8 	31.2 	31.2 	31.2 	32.3 	32.4 
A,MIO_EUR,INTLORG,ED1_2,LV	16.3 	18.3 	26.3 	10.1 	5.6 	0.8 	6.6 	3.1 	2.1 
A,MIO_EUR,INTLORG,ED1_2,MT	0.2 	0.1 	0.2 	0.3 	0.4 	2.3 	2.9 	0.5 	0.5 
A,MIO_EUR,INTLORG,ED1_2,NL	54.3 	15.8 	15.9 	48.2 	38.6 	40.0 	44.4 	16.6 	17.3 
A,MIO_EUR,INTLORG,ED1_2,NO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
