freq,unit,sector,expend,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,PRIV,ADJ,ED45,FR	21.3 	3.7 	4.5 	3.9 	4.4 	5.3 	4.9 	4.1 	0.5 
A,MIO_EUR,PRIV,ADJ,ED45,HR	: z	: z	: z	: z	: z	: d	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED45,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,IE	: z	: z	0.0 	: z	-6.6 	: 	: 	: 	: z
A,MIO_EUR,PRIV,ADJ,ED45,IS	0.0 	: z	: z	: z	: d	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,IT	-53.9 	0.0 	0.0 	0.0 	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED45,LI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED45,LT	: d	: 	0.1 	0.2 	-0.1 	0.0 	0.0 	0.0 	-0.2 
A,MIO_EUR,PRIV,ADJ,ED45,LU	0.0 	: z	: z	: z	0.0 	0.0 	0.0 	0.0 	: z
A,MIO_EUR,PRIV,ADJ,ED45,LV	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED45,NO	: d	: d	0.0 	15.0 	13.0 	15.4 	36.3 	41.6 	37.8 
A,MIO_EUR,PRIV,ADJ,ED45,PL	: 	: 	53.3 d	56.5 d	36.6 d	25.8 	58.5 	62.4 	61.7 
A,MIO_EUR,PRIV,ADJ,ED45,PT	: d	: d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED45,RO	0.0 	0.0 	0.7 	0.1 	0.0 	0.1 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,PRIV,ADJ,ED45,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,SI	: d	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED45,SK	: 	0.0 	0.0 	0.0 	: z	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED45,TR	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED45,UK	: z	: z	: z	: z	: z	: z	: z	: z	: 
A,MIO_EUR,PRIV,ASERV,ED25,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,BE	: d	: d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ASERV,ED25,BG	: z	0.0 	0.0 	0.0 	0.0 	0.0 	: d	: d	: d
A,MIO_EUR,PRIV,ASERV,ED25,CH	: z	: z	: z	: 	: z	: z	: z	: 	: z
A,MIO_EUR,PRIV,ASERV,ED25,CY	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,CZ	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	0.9 
A,MIO_EUR,PRIV,ASERV,ED25,DE	: z	: z	: z	: z	: z	: z	: z	: d	: d
A,MIO_EUR,PRIV,ASERV,ED25,DK	: z	: z	: z	: 	: z	: z	0.3 	0.6 	: z
A,MIO_EUR,PRIV,ASERV,ED25,EE	: z	0.0 	: z	: z	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ASERV,ED25,EL	: z	: z	: z	: z	: z	: z	: z	: z	: 
A,MIO_EUR,PRIV,ASERV,ED25,ES	0.0 	: d	: dz	: dz	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ASERV,ED25,FI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,FR	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,HR	: d	: d	: d	: z	: z	: d	: d	: d	: d
A,MIO_EUR,PRIV,ASERV,ED25,HU	0.2 	0.1 	0.0 	0.9 	0.0 	0.0 	0.0 	0.1 	0.1 
A,MIO_EUR,PRIV,ASERV,ED25,IE	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,IS	: dz	: dz	: z	: z	: dz	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,IT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ASERV,ED25,LI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,LT	: d	: 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ASERV,ED25,LU	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,LV	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ASERV,ED25,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ASERV,ED25,NO	: z	: z	: z	: z	: z	: z	: z	: z	: z
